,datetime,open,high,low,close,volume
0,2019-12-01 00:00:00,151.38,151.38,150.09,150.6,16927.583
1,2019-12-01 01:00:00,150.61,150.64,147.42,148.25,18229.305
2,2019-12-01 02:00:00,148.3,148.99,146.11,146.66,17809.049
3,2019-12-01 03:00:00,146.69,147.5,145.7,147.09,17007.041
4,2019-12-01 04:00:00,147.05,148.06,146.61,148.05,14829.733
5,2019-12-01 05:00:00,148.06,148.64,146.87,147.7,15461.197
6,2019-12-01 06:00:00,147.71,147.98,146.96,147.12,14980.251
7,2019-12-01 07:00:00,147.2,147.75,146.39,146.79,17188.057
8,2019-12-01 08:00:00,146.77,147.46,146.17,146.66,16029.492
9,2019-12-01 09:00:00,146.7,147.41,145.5,147.26,19999.886
10,2019-12-01 10:00:00,147.3,148.25,146.74,147.91,17779.545
11,2019-12-01 11:00:00,147.91,148.28,147.13,147.2,14695.123
12,2019-12-01 12:00:00,147.21,148.5,147.21,148.2,12963.509
13,2019-12-01 13:00:00,148.2,151.31,148.2,151.01,18228.25
14,2019-12-01 14:00:00,151.02,152.5,150.52,150.61,18629.393
15,2019-12-01 15:00:00,150.6,150.86,149.0,149.41,15785.776
16,2019-12-01 16:00:00,149.49,150.39,148.98,149.85,13620.495
17,2019-12-01 17:00:00,149.96,150.13,149.45,150.04,15826.486
18,2019-12-01 18:00:00,150.1,150.55,149.81,150.09,15084.232
19,2019-12-01 19:00:00,150.09,150.25,149.23,150.06,14974.681
20,2019-12-01 20:00:00,150.06,150.69,149.77,149.98,16067.302
21,2019-12-01 21:00:00,150.01,151.07,149.54,150.77,17601.387
22,2019-12-01 22:00:00,150.77,151.72,150.5,151.3,16895.295
23,2019-12-01 23:00:00,151.31,152.0,150.5,150.65,17881.051
24,2019-12-02 00:00:00,150.72,151.17,149.64,150.33,15915.698
25,2019-12-02 01:00:00,150.31,151.3,149.8,150.86,13278.732
26,2019-12-02 02:00:00,150.95,151.17,150.45,150.89,13963.682
27,2019-12-02 03:00:00,150.89,150.93,149.75,149.85,17561.277
28,2019-12-02 04:00:00,149.98,150.52,149.43,150.23,17955.687
29,2019-12-02 05:00:00,150.24,150.35,147.42,147.97,20657.136
30,2019-12-02 06:00:00,148.0,148.19,146.67,148.17,17264.731
31,2019-12-02 07:00:00,148.17,148.38,147.61,148.31,13014.134
32,2019-12-02 08:00:00,148.31,148.35,147.15,147.97,11248.544
33,2019-12-02 09:00:00,147.92,149.88,147.76,149.2,15284.616
34,2019-12-02 10:00:00,149.2,150.18,148.36,148.93,15939.24
35,2019-12-02 11:00:00,148.87,149.26,148.19,148.84,20012.089
36,2019-12-02 12:00:00,148.88,149.23,147.16,148.99,18901.398
37,2019-12-02 13:00:00,148.99,149.54,148.6,149.36,14313.388
38,2019-12-02 14:00:00,149.36,149.36,147.45,148.0,19585.503
39,2019-12-02 15:00:00,147.97,148.68,147.5,148.35,15008.96
40,2019-12-02 16:00:00,148.36,148.79,147.24,147.69,14655.429
41,2019-12-02 17:00:00,147.68,147.78,146.9,147.51,16049.759
42,2019-12-02 18:00:00,147.55,147.55,146.83,147.13,15480.6
43,2019-12-02 19:00:00,147.14,147.73,146.95,147.49,17188.449
44,2019-12-02 20:00:00,147.51,148.4,147.35,147.89,15410.832
45,2019-12-02 21:00:00,147.96,148.56,147.81,148.39,15386.304
46,2019-12-02 22:00:00,148.39,149.42,148.28,149.08,14061.654
47,2019-12-02 23:00:00,149.08,149.35,148.18,148.59,27493.068
48,2019-12-03 00:00:00,148.59,149.8,148.58,149.15,27202.639
49,2019-12-03 01:00:00,149.15,149.44,148.39,148.68,28203.745
50,2019-12-03 02:00:00,148.69,149.62,148.3,149.16,15626.233
51,2019-12-03 03:00:00,149.16,149.43,148.66,149.15,14151.048
52,2019-12-03 04:00:00,149.11,149.45,148.28,148.43,33322.323
53,2019-12-03 05:00:00,148.38,148.95,148.0,148.25,36904.411
54,2019-12-03 06:00:00,148.26,148.85,148.1,148.64,29556.668
55,2019-12-03 07:00:00,148.64,148.65,148.18,148.33,19653.5
56,2019-12-03 08:00:00,148.33,148.67,148.28,148.67,14636.08
57,2019-12-03 09:00:00,148.67,148.85,146.9,147.08,18955.622
58,2019-12-03 10:00:00,147.03,147.35,145.62,147.0,34628.507
59,2019-12-03 11:00:00,147.07,147.5,146.5,146.82,18997.012
60,2019-12-03 12:00:00,146.77,147.37,146.62,147.19,22842.801
61,2019-12-03 13:00:00,147.13,147.67,146.95,147.44,22116.77
62,2019-12-03 14:00:00,147.44,148.88,147.11,148.61,30458.045
63,2019-12-03 15:00:00,148.61,148.86,147.95,148.14,20192.411
64,2019-12-03 16:00:00,148.11,148.5,147.78,148.28,15448.331
65,2019-12-03 17:00:00,148.18,148.47,148.02,148.08,10260.05
66,2019-12-03 18:00:00,148.09,148.5,148.03,148.39,10911.114
67,2019-12-03 19:00:00,148.39,148.4,147.51,147.66,14421.483
68,2019-12-03 20:00:00,147.7,147.72,147.03,147.38,14740.355
69,2019-12-03 21:00:00,147.39,148.0,147.12,147.67,14827.578
70,2019-12-03 22:00:00,147.67,147.99,147.18,147.41,11342.797
71,2019-12-03 23:00:00,147.46,147.54,146.99,147.1,16597.05
72,2019-12-04 00:00:00,147.12,147.16,143.37,144.47,41114.182
73,2019-12-04 01:00:00,144.46,145.0,143.03,144.66,32753.435
74,2019-12-04 02:00:00,144.61,145.1,143.88,144.44,22183.366
75,2019-12-04 03:00:00,144.41,144.89,144.41,144.57,7593.462
76,2019-12-04 04:00:00,144.5,144.74,144.19,144.47,11283.11
77,2019-12-04 05:00:00,144.45,144.49,143.6,143.6,14158.839
78,2019-12-04 06:00:00,143.59,144.59,142.96,144.04,18498.111
79,2019-12-04 07:00:00,144.04,144.45,143.93,144.02,13580.913
80,2019-12-04 08:00:00,144.07,145.79,143.3,145.26,33083.975
81,2019-12-04 09:00:00,145.26,145.7,145.19,145.37,21779.266
82,2019-12-04 10:00:00,145.37,146.19,145.12,145.86,18060.907
83,2019-12-04 11:00:00,145.87,146.4,145.15,145.49,21087.551
84,2019-12-04 12:00:00,145.45,145.95,145.45,145.87,10361.802
85,2019-12-04 13:00:00,145.82,152.22,145.57,149.98,86361.762
86,2019-12-04 14:00:00,149.91,150.51,148.54,149.04,50888.619
87,2019-12-04 15:00:00,149.04,149.52,148.73,149.01,23125.611
88,2019-12-04 16:00:00,149.0,149.61,148.88,149.32,21914.456
89,2019-12-04 17:00:00,149.32,149.59,149.14,149.28,15178.494
90,2019-12-04 18:00:00,149.26,149.47,149.04,149.37,10853.919
91,2019-12-04 19:00:00,149.37,149.65,149.37,149.62,12025.422
92,2019-12-04 20:00:00,149.62,149.93,144.5,145.73,74751.412
93,2019-12-04 21:00:00,145.73,147.12,144.25,145.06,79065.516
94,2019-12-04 22:00:00,145.07,146.0,144.54,145.28,13117.316
95,2019-12-04 23:00:00,145.34,146.18,145.14,145.35,31583.371
96,2019-12-05 00:00:00,145.36,145.62,145.01,145.55,26129.33
97,2019-12-05 01:00:00,145.47,145.97,145.45,145.65,17534.623
98,2019-12-05 02:00:00,145.65,145.65,144.21,144.37,9507.736
99,2019-12-05 03:00:00,144.38,144.93,143.77,144.91,14724.211
