,datetime,open,high,low,close,volume
0,2019-09-08 17:45:00,10000.0,10000.0,10000.0,10000.0,0.002
1,2019-09-08 18:00:00,10000.0,10000.0,10000.0,10000.0,0.0
2,2019-09-08 18:15:00,10000.0,10000.0,10000.0,10000.0,0.0
3,2019-09-08 18:30:00,10000.0,10000.0,10000.0,10000.0,0.0
4,2019-09-08 18:45:00,10000.0,10000.0,10000.0,10000.0,0.0
5,2019-09-08 19:00:00,10344.77,10345.41,10344.77,10345.41,3.201
6,2019-09-08 19:15:00,10350.37,10357.53,10342.9,10354.62,132.976
7,2019-09-08 19:30:00,10354.62,10357.35,10337.43,10345.74,171.987
8,2019-09-08 19:45:00,10345.74,10347.45,10338.38,10340.12,163.495
9,2019-09-08 20:00:00,10340.12,10361.42,10339.8,10358.96,87.323
10,2019-09-08 20:15:00,10358.96,10363.45,10350.84,10351.83,165.507
11,2019-09-08 20:30:00,10351.83,10368.64,10347.01,10358.5,167.515
12,2019-09-08 20:45:00,10358.5,10360.43,10334.54,10351.42,162.926
13,2019-09-08 21:00:00,10351.42,10353.97,10325.62,10329.8,174.455
14,2019-09-08 21:15:00,10330.22,10346.03,10324.77,10343.36,166.175
15,2019-09-08 21:30:00,10343.36,10357.23,10340.17,10356.26,182.666
16,2019-09-08 21:45:00,10356.26,10391.9,10355.28,10391.9,166.463
17,2019-09-08 22:00:00,10392.59,10406.65,10386.41,10406.65,163.94
18,2019-09-08 22:15:00,10407.25,10412.65,10390.45,10391.29,170.899
19,2019-09-08 22:30:00,10393.97,10404.76,10388.69,10389.12,169.619
20,2019-09-08 22:45:00,10389.12,10389.12,10375.58,10375.58,170.936
21,2019-09-08 23:00:00,10375.58,10376.61,10366.57,10376.61,164.303
22,2019-09-08 23:15:00,10376.61,10391.96,10376.61,10391.89,169.884
23,2019-09-08 23:30:00,10391.89,10392.25,10388.69,10389.34,174.019
24,2019-09-08 23:45:00,10389.34,10391.96,10375.95,10391.63,168.0
25,2019-09-09 00:00:00,10391.63,10391.63,10391.63,10391.63,0.0
26,2019-09-09 00:15:00,10391.63,10391.63,10391.63,10391.63,0.0
27,2019-09-09 00:30:00,10391.63,10391.63,10391.63,10391.63,0.0
28,2019-09-09 00:45:00,10391.63,10391.63,10391.63,10391.63,0.0
29,2019-09-09 01:00:00,10391.63,10391.63,10391.63,10391.63,0.0
30,2019-09-09 01:15:00,10391.63,10391.63,10391.63,10391.63,0.0
31,2019-09-09 01:30:00,10391.63,10391.63,10391.63,10391.63,0.0
32,2019-09-09 01:45:00,10391.63,10391.63,10391.63,10391.63,0.0
33,2019-09-09 02:00:00,10391.63,10391.63,10391.63,10391.63,0.0
34,2019-09-09 02:15:00,10391.63,10391.63,10391.63,10391.63,0.0
35,2019-09-09 02:30:00,10391.63,10391.63,10391.63,10391.63,0.0
36,2019-09-09 02:45:00,10316.62,10316.65,10294.29,10296.04,96.462
37,2019-09-09 03:00:00,10295.81,10316.68,10294.5,10312.86,172.3
38,2019-09-09 03:15:00,10312.14,10316.29,10303.35,10314.22,170.555
39,2019-09-09 03:30:00,10314.22,10316.3,10267.75,10270.59,174.22
40,2019-09-09 03:45:00,10270.59,10298.49,10267.37,10297.89,165.912
41,2019-09-09 04:00:00,10297.89,10300.32,10292.52,10292.52,171.759
42,2019-09-09 04:15:00,10293.4,10293.72,10251.51,10265.41,168.246
43,2019-09-09 04:30:00,10265.41,10286.07,10264.54,10283.6,164.612
44,2019-09-09 04:45:00,10283.6,10316.33,10282.2,10316.3,175.661
45,2019-09-09 05:00:00,10316.3,10316.33,10314.16,10315.72,169.819
46,2019-09-09 05:15:00,10316.27,10316.34,10303.23,10303.23,167.755
47,2019-09-09 05:30:00,10303.23,10308.15,10299.8,10307.29,170.013
48,2019-09-09 05:45:00,10307.29,10312.66,10300.33,10304.32,163.937
49,2019-09-09 06:00:00,10304.32,10305.51,10281.64,10283.94,172.51
50,2019-09-09 06:15:00,10284.38,10302.92,10271.81,10271.81,176.335
51,2019-09-09 06:30:00,10272.53,10297.14,10271.28,10285.57,163.648
52,2019-09-09 06:45:00,10286.01,10287.35,10252.36,10256.09,168.027
53,2019-09-09 07:00:00,10260.16,10273.71,10204.66,10217.73,159.657
54,2019-09-09 07:15:00,10217.73,10234.68,10134.24,10150.69,164.818
55,2019-09-09 07:30:00,10151.78,10167.47,10092.71,10164.56,155.321
56,2019-09-09 07:45:00,10163.69,10166.95,10144.85,10149.47,152.671
57,2019-09-09 08:00:00,10149.47,10149.47,10077.22,10088.88,199.169
58,2019-09-09 08:15:00,10088.88,10147.93,10088.55,10147.93,199.519
59,2019-09-09 08:30:00,10147.93,10170.22,10147.93,10167.53,380.325
60,2019-09-09 08:45:00,10168.05,10170.74,10135.16,10147.84,381.03
61,2019-09-09 09:00:00,10147.84,10178.43,10143.68,10175.2,161.365
62,2019-09-09 09:15:00,10178.53,10256.7,10178.53,10246.87,70.91
63,2019-09-09 09:30:00,10247.69,10251.11,10238.13,10242.66,7.414
64,2019-09-09 09:45:00,10236.97,10267.74,10236.97,10248.89,34.984
65,2019-09-09 10:00:00,10249.57,10249.57,10210.32,10213.87,89.877
66,2019-09-09 10:15:00,10213.87,10218.96,10196.83,10196.83,78.183
67,2019-09-09 10:30:00,10196.76,10240.64,10196.76,10231.2,87.731
68,2019-09-09 10:45:00,10227.43,10256.18,10226.26,10253.25,128.592
69,2019-09-09 11:00:00,10247.69,10320.43,10222.75,10316.8,139.518
70,2019-09-09 11:15:00,10316.8,10475.54,10305.61,10448.03,93.899
71,2019-09-09 11:30:00,10455.7,10464.82,10410.29,10414.5,199.337
72,2019-09-09 11:45:00,10414.5,10418.15,10372.63,10414.6,214.632
73,2019-09-09 12:00:00,10411.7,10411.7,10374.11,10383.78,204.645
74,2019-09-09 12:15:00,10386.96,10408.83,10381.88,10386.66,206.838
75,2019-09-09 12:30:00,10386.66,10408.26,10386.21,10397.73,222.022
76,2019-09-09 12:45:00,10388.79,10388.79,10349.89,10356.75,211.063
77,2019-09-09 13:00:00,10356.61,10374.58,10335.62,10339.9,259.366
78,2019-09-09 13:15:00,10340.78,10349.8,10334.43,10343.45,226.47
79,2019-09-09 13:30:00,10344.92,10389.12,10331.23,10354.53,206.626
80,2019-09-09 13:45:00,10351.75,10365.28,10317.61,10322.37,180.466
81,2019-09-09 14:00:00,10327.06,10344.36,10311.63,10322.04,201.475
82,2019-09-09 14:15:00,10325.73,10363.82,10322.39,10344.25,212.196
83,2019-09-09 14:30:00,10342.87,10347.61,10319.54,10334.3,211.965
84,2019-09-09 14:45:00,10327.95,10339.37,10302.69,10337.55,205.189
85,2019-09-09 15:00:00,10333.86,10339.02,10308.84,10319.4,210.945
86,2019-09-09 15:15:00,10321.48,10350.12,10312.7,10341.77,203.735
87,2019-09-09 15:30:00,10352.06,10363.66,10318.27,10323.96,201.409
88,2019-09-09 15:45:00,10322.93,10334.53,10314.1,10314.26,221.605
89,2019-09-09 16:00:00,10314.26,10333.55,10239.81,10296.87,305.764
90,2019-09-09 16:15:00,10295.08,10295.08,10254.86,10254.86,232.744
91,2019-09-09 16:30:00,10255.66,10271.97,10183.31,10232.41,260.393
92,2019-09-09 16:45:00,10230.21,10256.58,10221.36,10255.44,328.081
93,2019-09-09 17:00:00,10253.31,10296.3,10252.07,10284.52,245.326
94,2019-09-09 17:15:00,10284.67,10291.14,10235.3,10258.03,263.62
95,2019-09-09 17:30:00,10260.73,10273.62,10244.14,10256.99,204.91
96,2019-09-09 17:45:00,10254.86,10265.7,10254.13,10263.33,199.396
97,2019-09-09 18:00:00,10261.38,10286.55,10261.38,10279.6,229.315
98,2019-09-09 18:15:00,10277.73,10288.82,10259.35,10259.35,229.401
99,2019-09-09 18:30:00,10261.52,10273.11,10250.56,10269.45,265.648
100,2019-09-09 18:45:00,10271.36,10273.11,10253.2,10255.58,193.855
101,2019-09-09 19:00:00,10255.58,10255.98,10237.17,10243.78,196.909
102,2019-09-09 19:15:00,10245.69,10272.26,10245.53,10263.95,252.371
103,2019-09-09 19:30:00,10263.95,10268.24,10251.61,10256.09,221.555
104,2019-09-09 19:45:00,10259.34,10323.13,10258.27,10308.87,286.041
105,2019-09-09 20:00:00,10307.8,10314.22,10277.05,10306.3,244.361
106,2019-09-09 20:15:00,10302.7,10374.9,10276.13,10331.94,220.507
107,2019-09-09 20:30:00,10316.58,10420.65,10276.25,10282.95,237.179
108,2019-09-09 20:45:00,10228.28,10233.85,10228.28,10233.85,24.0
109,2019-09-09 21:00:00,10229.48,10270.49,10229.48,10251.48,69.638
110,2019-09-09 21:15:00,10253.41,10343.79,10244.85,10272.09,222.901
111,2019-09-09 21:30:00,10272.09,10288.5,10271.59,10286.33,122.999
112,2019-09-09 21:45:00,10286.33,10296.97,10284.59,10289.48,101.27
113,2019-09-09 22:00:00,10289.48,10340.36,10289.48,10334.44,126.37
114,2019-09-09 22:15:00,10334.44,10334.44,10320.19,10324.0,70.932
115,2019-09-09 22:30:00,10324.0,10344.84,10324.0,10344.0,79.657
116,2019-09-09 22:45:00,10352.96,10358.69,10352.96,10358.69,19.675
117,2019-09-09 23:00:00,10347.5,10350.71,10344.56,10350.71,24.312
118,2019-09-09 23:15:00,10350.71,10382.64,10349.81,10369.78,3.963
119,2019-09-09 23:30:00,10369.78,10369.78,10321.46,10327.46,7.76
120,2019-09-09 23:45:00,10326.67,10350.5,10304.8,10307.0,36.782
121,2019-09-10 00:00:00,10307.0,10350.52,10307.0,10350.52,42.219
122,2019-09-10 00:15:00,10350.52,10372.55,10311.52,10353.37,54.846
123,2019-09-10 00:30:00,10353.37,10373.14,10333.92,10358.19,43.806
124,2019-09-10 00:45:00,10358.19,10367.85,10336.84,10338.61,56.439
125,2019-09-10 01:00:00,10336.92,10379.76,10336.92,10379.31,110.165
126,2019-09-10 01:15:00,10379.31,10382.97,10366.63,10370.09,58.796
127,2019-09-10 01:30:00,10370.09,10381.02,10362.7,10362.7,54.971
128,2019-09-10 01:45:00,10359.81,10373.32,10328.53,10328.53,98.701
129,2019-09-10 02:00:00,10328.04,10355.4,10328.04,10346.6,122.842
130,2019-09-10 02:15:00,10348.53,10356.14,10332.36,10351.28,136.347
131,2019-09-10 02:30:00,10351.28,10352.27,10284.83,10296.69,141.723
132,2019-09-10 02:45:00,10294.75,10314.97,10281.43,10281.43,145.368
133,2019-09-10 03:00:00,10285.58,10320.45,10279.98,10306.18,128.837
134,2019-09-10 03:15:00,10306.18,10317.41,10279.16,10292.67,137.827
135,2019-09-10 03:30:00,10292.09,10297.18,10266.61,10296.67,108.373
136,2019-09-10 03:45:00,10294.74,10318.42,10293.14,10307.25,106.195
137,2019-09-10 04:00:00,10309.17,10329.24,10307.63,10311.1,112.998
138,2019-09-10 04:15:00,10311.1,10319.54,10304.57,10306.52,139.309
139,2019-09-10 04:30:00,10306.52,10308.08,10306.49,10307.21,166.356
140,2019-09-10 04:45:00,10306.59,10307.21,10305.21,10305.21,95.002
141,2019-09-10 05:00:00,10305.21,10306.67,10304.57,10305.21,101.148
142,2019-09-10 05:15:00,10305.21,10305.21,10305.21,10305.21,44.874
