timestamp,open,high,low,close,volume,close_timestamp,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1597104000000,2.85,3.5208,2.8433,3.2985,1552385,1597190399999,4939150.0,13490,741771.0,2370190.0
1597190400000,3.2985,3.9289,3.08,3.7558,1737043,1597276799999,6176150.0,21118,889134.0,3161940.0
1597276800000,3.75,4.1387,3.5003,3.73,1685759,1597363199999,6446570.0,22922,716358.0,2755760.0
1597363200000,3.7207,3.7676,3.321,3.4099,1474162,1597449599999,5205830.0,18581,578652.0,2048900.0
1597449600000,3.4181,3.74,3.15,3.173,1070233,1597535999999,3658010.0,13903,439624.0,1510470.0
1597536000000,3.173,3.4907,3.12,3.3885,668107,1597622399999,2227720.0,10659,267439.0,896424.0
1597622400000,3.3885,3.3952,3.1,3.11,729414,1597708799999,2355330.0,8632,258192.0,833604.0
1597708800000,3.11,3.7092,2.8105,3.3407,2713116,1597795199999,8885310.0,27415,1276600.0,4211380.0
1597795200000,3.334,3.49,2.8,2.8868,1433244,1597881599999,4380400.0,17076,487245.0,1491950.0
1597881600000,2.8962,3.445,2.8871,3.2038,1277827,1597967999999,4078240.0,14169,654313.0,2100680.0
1597968000000,3.2038,3.24,2.89,2.9317,1131896,1598054399999,3480340.0,12957,435955.0,1340930.0
1598054400000,2.9213,3.2,2.7431,3.0126,1169418,1598140799999,3434000.0,10427,535611.0,1579340.0
1598140800000,3.0224,3.4,3.0014,3.25,1198037,1598227199999,3846250.0,11455,701976.0,2259170.0
1598227200000,3.2658,3.62,3.21,3.3405,1315196,1598313599999,4504840.0,15317,634212.0,2181570.0
1598313600000,3.3406,3.3654,3.0001,3.25,1149187,1598399999999,3629890.0,14226,477029.0,1506230.0
1598400000000,3.2576,3.7999,3.1809,3.5684,2290031,1598486399999,8065580.0,23980,1256410.0,4427330.0
1598486400000,3.5557,3.8575,3.2434,3.4501,2412975,1598572799999,8578460.0,25784,1158010.0,4141260.0
1598572800000,3.4503,4.3091,3.4503,4.0063,2581937,1598659199999,10089400.0,30430,1416810.0,5532660.0
1598659200000,4.007,4.1121,3.7748,3.9535,1342844,1598745599999,5290920.0,19319,589471.0,2328970.0
1598745600000,3.9531,4.7117,3.9,4.4309,1815682,1598831999999,7967060.0,26712,864715.0,3787280.0
1598832000000,4.4127,4.8865,4.1,4.7435,1497129,1598918399999,6664670.0,23396,829785.0,3715510.0
1598918400000,4.7432,4.9475,4.3,4.3397,1267575,1599004799999,5871720.0,20174,626211.0,2914620.0
1599004800000,4.3213,4.3506,3.66,4.17,2002058,1599091199999,8136930.0,25545,872237.0,3553810.0
1599091200000,4.17,4.459,3.4772,3.5051,3275612,1599177599999,12941600.0,37166,1415420.0,5628690.0
1599177600000,3.5062,3.8346,3.1739,3.5301,2052197,1599263999999,7262300.0,23918,892868.0,3167600.0
1599264000000,3.5301,3.6637,2.0926,2.6052,4426267,1599350399999,11872700.0,36221,1667140.0,4417380.0
1599350400000,2.6119,3.18,2.2575,3.0941,2898759,1599436799999,7940870.0,24763,1441530.0,3961690.0
1599436800000,3.0785,3.1983,2.38,2.9237,2680083,1599523199999,7269850.0,20763,1237120.0,3357710.0
1599523200000,2.9237,2.9499,2.4,2.468,1626390,1599609599999,4163480.0,17527,594993.0,1526240.0
1599609600000,2.468,3.8838,2.3821,3.6001,6691122,1599695999999,22147400.0,54509,3343480.0,11062500.0
1599696000000,3.6107,3.875,3.304,3.4761,4356891,1599782399999,15482100.0,47297,2075980.0,7395170.0
1599782400000,3.4707,3.5036,3.0316,3.3965,2227637,1599868799999,7208720.0,23696,905329.0,2940780.0
1599868800000,3.3967,3.47,3.1494,3.3316,1161542,1599955199999,3845110.0,14476,555663.0,1842560.0
1599955200000,3.3386,3.47,2.9838,3.2603,2024779,1600041599999,6528380.0,27152,871294.0,2819240.0
1600041600000,3.2656,3.5393,3.0752,3.2641,3351650,1600127999999,11171000.0,53540,1671480.0,5589900.0
1600128000000,3.264,3.3249,2.8955,2.9295,1698391,1600214399999,5332430.0,28139,671972.0,2114490.0
1600214400000,2.9288,2.9293,2.4282,2.5327,4886767,1600300799999,12739800.0,52638,1895990.0,4948030.0
1600300800000,2.5376,2.9389,2.36,2.8829,4635747,1600387199999,12078100.0,50561,2337320.0,6112230.0
1600387200000,2.883,3.16,2.726,3.1144,4169446,1600473599999,12295000.0,49597,2127090.0,6283800.0
1600473600000,3.1084,3.2545,2.9564,3.031,1586220,1600559999999,4884900.0,23707,799968.0,2467080.0
1600560000000,3.0216,3.0319,2.7,2.8628,1456629,1600646399999,4183730.0,19133,620427.0,1786110.0
1600646400000,2.8628,3.0397,2.4689,2.7672,3567879,1600732799999,9634410.0,45379,1721710.0,4642470.0
1600732800000,2.7571,3.0107,2.65,2.9082,3416786,1600819199999,9798310.0,46943,1734860.0,4980220.0
1600819200000,2.9184,3.09,2.7001,2.8548,2762151,1600905599999,7980470.0,34471,1405080.0,4075040.0
1600905600000,2.855,3.2571,2.7804,3.1433,2983701,1600991999999,9088680.0,37434,1621530.0,4936110.0
1600992000000,3.1409,3.2766,2.9003,3.1937,2447843,1601078399999,7516840.0,30447,1162450.0,3567950.0
1601078400000,3.185,3.25,3.03,3.1287,1357019,1601164799999,4232120.0,19471,645639.0,2016570.0
1601164800000,3.1292,3.1857,2.9819,3.1578,983816,1601251199999,3052810.0,13547,495458.0,1540900.0
1601251200000,3.1557,3.2109,2.908,2.9599,1306134,1601337599999,3987560.0,17608,494804.0,1516280.0
1601337600000,2.9549,3.027,2.8735,2.9505,950876,1601423999999,2801170.0,12547,438369.0,1290440.0
1601424000000,2.9447,2.9838,2.8228,2.8967,722758,1601510399999,2099220.0,9631,313433.0,911665.0
1601510400000,2.8967,2.9889,2.65,2.8669,1373062,1601596799999,3893340.0,16798,595327.0,1692230.0
1601596800000,2.8667,2.8873,2.42,2.6232,2788493,1601683199999,7275000.0,26532,1307600.0,3422120.0
1601683200000,2.6231,2.6708,2.5356,2.5439,547025,1601769599999,1435300.0,6342,251125.0,659738.0
1601769600000,2.542,2.5898,2.42,2.5202,765399,1601855999999,1911130.0,8690,330606.0,826124.0
1601856000000,2.5181,2.683,2.4561,2.6522,912587,1601942399999,2349410.0,10397,490424.0,1260470.0
1601942400000,2.6486,2.6604,2.13,2.174,1784025,1602028799999,4217790.0,15210,780761.0,1849840.0
1602028800000,2.1721,2.4083,2.081,2.3005,2087951,1602115199999,4681010.0,14780,955203.0,2146600.0
1602115200000,2.3001,2.4569,2.0123,2.3638,2759190,1602201599999,6159550.0,22492,1422000.0,3185690.0
1602201600000,2.3686,2.63,2.303,2.5314,1878524,1602287999999,4668500.0,19298,931717.0,2313920.0
1602288000000,2.5274,2.6056,2.3873,2.3999,1278940,1602374399999,3208990.0,13855,539604.0,1353170.0
1602374400000,2.3988,2.4607,2.3401,2.4227,898764,1602460799999,2160330.0,9182,421044.0,1012510.0
1602460800000,2.4228,2.7044,2.4132,2.5836,2155387,1602547199999,5542120.0,20035,1220070.0,3135510.0
1602547200000,2.5826,2.5867,2.336,2.4062,1951031,1602633599999,4782870.0,19501,838060.0,2057570.0
1602633600000,2.4061,2.4424,2.2331,2.3107,1125386,1602719999999,2631150.0,11891,470550.0,1104040.0
1602720000000,2.3108,2.3485,2.1932,2.2682,754909,1602806399999,1711560.0,8038,291516.0,662246.0
1602806400000,2.2648,2.269,2.1071,2.1398,1546650,1602892799999,3372970.0,16129,692466.0,1512300.0
1602892800000,2.1374,2.2462,2.1107,2.2053,482250,1602979199999,1058100.0,5450,229039.0,502570.0
1602979200000,2.2031,2.2595,2.1763,2.215,478921,1603065599999,1061890.0,5044,200174.0,444255.0
1603065600000,2.2137,2.2148,2.05,2.0592,909217,1603151999999,1903930.0,9244,427767.0,895785.0
1603152000000,2.0552,2.108,1.8401,1.885,1933167,1603238399999,3745710.0,17172,846647.0,1640260.0
1603238400000,1.8873,2.11,1.8415,1.8887,3222725,1603324799999,6268420.0,27731,1534140.0,2986840.0
1603324800000,1.8868,2.09,1.8481,1.9582,1624778,1603411199999,3222020.0,15518,811627.0,1611410.0
1603411200000,1.9566,1.9902,1.85,1.959,1559992,1603497599999,3003770.0,14300,798356.0,1541480.0
1603497600000,1.9652,1.973,1.88,1.9142,748094,1603583999999,1442960.0,7136,330710.0,638792.0
1603584000000,1.9175,1.9244,1.76,1.7926,1365866,1603670399999,2529850.0,12507,529076.0,979736.0
1603670400000,1.7925,1.8685,1.6121,1.6799,2021872,1603756799999,3512000.0,18268,931978.0,1626150.0
1603756800000,1.6771,1.75,1.5906,1.711,2591150,1603843199999,4356310.0,18450,1218750.0,2052580.0
1603843200000,1.7084,1.7255,1.4508,1.518,3354618,1603929599999,5216560.0,24005,1470360.0,2286340.0
1603929600000,1.5166,1.5754,1.4148,1.4327,1233628,1604015999999,1842930.0,9134,576748.0,863068.0
1604016000000,1.4328,1.4726,1.3163,1.4381,1401628,1604102399999,1968210.0,9225,613806.0,862774.0
1604102400000,1.4383,1.558,1.4266,1.5497,851990,1604188799999,1279140.0,8029,424556.0,638421.0
1604188800000,1.5497,1.6463,1.5137,1.608,960664,1604275199999,1513800.0,6949,487341.0,768604.0
1604275200000,1.6076,1.6432,1.4621,1.4738,867738,1604361599999,1329880.0,5291,404404.0,620515.0
1604361600000,1.4729,1.484,1.4062,1.4118,983165,1604447999999,1417470.0,6306,408888.0,590290.0
1604448000000,1.4123,1.4144,1.2733,1.3912,2560524,1604534399999,3469940.0,12910,1263590.0,1712210.0
1604534400000,1.3895,1.4928,1.3,1.4007,1598493,1604620799999,2248170.0,10773,778161.0,1095820.0
1604620800000,1.403,1.9482,1.3946,1.9,3846547,1604707199999,6594070.0,25259,2095410.0,3593150.0
1604707200000,1.9069,2.4975,1.8276,2.0215,8862611,1604793599999,18925500.0,68805,4670820.0,9999040.0
1604793600000,2.0264,2.2825,1.9608,2.1558,4800346,1604879999999,10113500.0,35673,2460790.0,5192220.0
1604880000000,2.1515,2.1991,1.9456,2.0299,3050444,1604966399999,6301470.0,23122,1507070.0,3119490.0
1604966400000,2.0383,2.3257,2.008,2.2661,2119423,1605052799999,4643500.0,16744,1138160.0,2494660.0
1605052800000,2.2665,2.3,1.9673,2.0,1863686,1605139199999,3969960.0,15371,815225.0,1739080.0
1605139200000,2.0,2.06,1.825,1.9089,1522311,1605225599999,2966670.0,11688,680735.0,1329460.0
1605225600000,1.9089,2.0808,1.8997,2.0141,1595684,1605311999999,3182610.0,11304,803037.0,1601670.0
1605312000000,2.0222,2.0374,1.869,1.9182,1191847,1605398399999,2317160.0,9435,521401.0,1014130.0
1605398400000,1.9204,2.218,1.9133,2.0407,3348186,1605484799999,7009330.0,37547,1742200.0,3651630.0
1605484800000,2.039,2.37,1.9858,2.2626,3192030,1605571199999,7162130.0,37939,1704890.0,3834380.0
1605571200000,2.2665,2.33,2.125,2.1998,2311121,1605657599999,5142150.0,29860,1128080.0,2511940.0
1605657600000,2.1962,2.2173,2.0001,2.1153,2054379,1605743999999,4318170.0,24685,921238.0,1937610.0
1605744000000,2.1122,2.1848,2.0136,2.085,1391862,1605830399999,2921100.0,18220,692710.0,1453700.0
1605830400000,2.0841,2.2387,2.0521,2.1033,1589415,1605916799999,3421570.0,21247,757222.0,1630730.0
1605916800000,2.0999,2.51,2.0351,2.3822,2963490,1606003199999,6792950.0,39232,1571900.0,3611540.0
1606003200000,2.3825,2.4201,2.04,2.1514,2448127,1606089599999,5384100.0,33994,1119240.0,2469790.0
1606089600000,2.161,2.3635,2.112,2.2786,2094161,1606175999999,4728020.0,30597,1054920.0,2386970.0
1606176000000,2.2786,2.4731,2.1338,2.2823,3534792,1606262399999,8099790.0,48091,1810100.0,4159510.0
1606262400000,2.2795,2.49,2.1703,2.2661,3597682,1606348799999,8395020.0,49027,1797580.0,4195020.0
1606348800000,2.2653,2.3101,1.7212,1.9111,6803275,1606435199999,13120800.0,65661,3149150.0,6060010.0
1606435200000,1.9117,2.04,1.7694,1.861,1802241,1606521599999,3400280.0,26159,918887.0,1737440.0
1606521600000,1.8644,1.94,1.8016,1.8868,1381391,1606607999999,2587760.0,19596,673741.0,1260760.0
1606608000000,1.8858,1.947,1.85,1.9153,862712,1606694399999,1640190.0,12732,402962.0,765176.0
1606694400000,1.9184,2.0182,1.9034,1.9665,1094620,1606780799999,2153820.0,16484,529329.0,1041630.0
1606780800000,1.9641,2.1404,1.9168,1.9738,2102912,1606867199999,4264960.0,28459,945313.0,1919070.0
1606867200000,1.9702,2.2098,1.9333,2.1209,2203748,1606953599999,4622520.0,30536,1145170.0,2405450.0
1606953600000,2.119,2.2279,2.074,2.0967,3182362,1607039999999,6879030.0,35011,1593560.0,3450280.0
1607040000000,2.0967,2.1123,1.836,1.8535,1424943,1607126399999,2831580.0,22048,544808.0,1083720.0
1607126400000,1.8507,1.983,1.82,1.9795,1087998,1607212799999,2064360.0,16814,526603.0,999686.0
1607212800000,1.9795,1.9907,1.7956,1.8505,1125736,1607299199999,2103760.0,15434,551205.0,1030210.0
